feature,logOR,se_wald,p_wald,neglog10p,alpha,gamma,prev
0,-0.022489912912350588,0.006604021294502269,0.0006604600244615721,3.180153463713568,0.6950382225992799,-0.02,0.6676233333333333
1,-0.011561781133851902,0.02636025012789931,0.6609465740482627,0.17983364419630585,-4.235001607891394,-0.02,0.014276666666666667
2,-0.02709399011851472,0.006246599153074415,1.441790454254518e-05,4.841097854161542,-0.10291543771681089,-0.02,0.47320666666666666
3,-0.027935929173844232,0.026691874040676807,0.29528040605904304,0.5297653705857653,4.2992488251086245,-0.02,0.98638
4,-0.011175899770043091,0.007080372027152758,0.11446594492423826,0.941323702244289,-1.0212773856647375,-0.02,0.26426666666666665
5,0.02165793620710563,0.018639246087427543,0.24525437593592125,0.6103832350066505,-3.5309816920742714,0.02,0.028465
6,0.010933670358996258,0.010785175395440867,0.31069326138595066,0.5076681660389872,-2.2975801407060565,0.02,0.09150333333333334
7,0.01692883029462386,0.011656604892162952,0.14641956633282044,0.8344008837791462,-2.4854849365016234,0.02,0.07686
8,0.036791922834662205,0.05031166194359169,0.46460801433421106,0.33291330303534344,-5.558243005514915,0.02,0.003775
9,0.026415918954996228,0.009356815546112519,0.004755074781083486,2.3228426487041633,1.9114531000220574,0.02,0.8711616666666666
10,0.15014594675791829,0.07462704214990536,0.04422511003127038,1.3543310779001134,6.295340658849647,0.02,0.9980933333333334
11,-0.007259019089503364,0.024923312267774413,0.7708569215650112,0.11302622368854852,-4.1394726481653175,-0.02,0.01596
12,-0.0338250190044213,0.007149908971254965,2.2360138352134554e-06,5.6505255136039185,-1.0501908367547876,-0.02,0.25891
13,-0.016954082109361335,0.009037657214384305,0.06066383174440505,1.217070161567481,-1.822885428900428,-0.02,0.13917166666666667
14,0.005234184317091187,0.027577817716116417,0.849468285020583,0.07085283091815084,4.343404384653261,-0.02,0.9870183333333333
15,0.018833843305023593,0.018116138490969425,0.29851793319130715,0.5250295739078589,3.443053510283156,0.02,0.9691416666666667
16,0.1025199701444278,0.07551308360175803,0.17457631564360976,0.7580146763406085,-6.425767884710605,-0.02,0.0016133333333333334
17,-0.0440209849103746,0.03298685125752084,0.18203973006716878,0.73983381714733,-4.671314990926647,0.02,0.009236666666666667
18,-0.02901943989633855,0.006290014268215371,3.958051886319714e-06,5.402518516902074,-0.24521851875866862,-0.02,0.43797
19,0.022304121476381132,0.0074376055451219406,0.002710176628199807,2.56700240427215,1.2098749298024016,0.02,0.7704033333333333
20,-0.01193907081707877,0.042378065764328364,0.7781523885853768,0.1089353451169695,5.230053994554529,-0.02,0.9945966666666667
21,0.018004502792032643,0.018912454858846486,0.3411011177938864,0.4671168574002212,3.5285135244666446,0.02,0.9717733333333334
22,-0.02502983009601394,0.007977758414754902,0.0017042346755402232,2.7684706024832346,-1.4503819207358781,-0.02,0.19022666666666666
23,0.01848518559525605,0.013107748375146274,0.15846624937172582,0.8000632209694578,-2.762318303942598,0.02,0.059603333333333335
