alpha,n_case,n_ctrl,ctrl_case_ratio,seed,m,null_frac,beta_mean,beta_sd,eps,n_val,var_extra_scale,var_extra,se_floor,naive_fdr,naive_discoveries,naive_tp,naive_fp,lambda_fdr,lambda_discoveries,lambda_tp,lambda_fp,run_dir
0.01,100,10000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.738667,375,98,277,0.736264,364,96,268,ncase_alpha_sweep/alpha_0p01/n_100
0.01,251,25100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.72293,314,87,227,0.716783,286,81,205,ncase_alpha_sweep/alpha_0p01/n_251
0.01,631,63100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.70696,273,80,193,0.712446,233,67,166,ncase_alpha_sweep/alpha_0p01/n_631
0.01,1585,158500,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.584848,330,137,193,0.576923,234,99,135,ncase_alpha_sweep/alpha_0p01/n_1585
0.01,3981,398100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.423729,413,238,175,0.463918,194,104,90,ncase_alpha_sweep/alpha_0p01/n_3981
0.01,10000,1000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.223744,657,510,147,0.153846,182,154,28,ncase_alpha_sweep/alpha_0p01/n_10000
0.01,25119,2511900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.12567,1305,1141,164,0.098214,224,202,22,ncase_alpha_sweep/alpha_0p01/n_25119
0.01,63096,6309600,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.073467,2137,1980,157,0.017937,223,219,4,ncase_alpha_sweep/alpha_0p01/n_63096
0.01,158489,15848900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.059365,2931,2757,174,0.0,282,282,0,ncase_alpha_sweep/alpha_0p01/n_158489
0.01,398107,39810700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.042869,3499,3349,150,0.0,324,324,0,ncase_alpha_sweep/alpha_0p01/n_398107
0.01,1000000,100000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.044768,3842,3670,172,0.0,323,323,0,ncase_alpha_sweep/alpha_0p01/n_1000000
0.05,100,10000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.762938,1198,284,914,0.762468,1183,281,902,ncase_alpha_sweep/alpha_0p05/n_100
0.05,251,25100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.763281,1073,254,819,0.768411,1032,239,793,ncase_alpha_sweep/alpha_0p05/n_251
0.05,631,63100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.733143,1053,281,772,0.735356,956,253,703,ncase_alpha_sweep/alpha_0p05/n_631
0.05,1585,158500,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.657025,1210,415,795,0.654472,984,340,644,ncase_alpha_sweep/alpha_0p05/n_1585
0.05,3981,398100,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.570909,1375,590,785,0.562069,870,381,489,ncase_alpha_sweep/alpha_0p05/n_3981
0.05,10000,1000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.441387,1817,1015,802,0.374843,795,497,298,ncase_alpha_sweep/alpha_0p05/n_10000
0.05,25119,2511900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.312749,2510,1725,785,0.164589,802,670,132,ncase_alpha_sweep/alpha_0p05/n_25119
0.05,63096,6309600,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.242674,3276,2481,795,0.041295,896,859,37,ncase_alpha_sweep/alpha_0p05/n_63096
0.05,158489,15848900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.204905,3914,3112,802,0.007014,998,991,7,ncase_alpha_sweep/alpha_0p05/n_158489
0.05,398107,39810700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.188058,4371,3549,822,0.00096,1042,1041,1,ncase_alpha_sweep/alpha_0p05/n_398107
0.05,1000000,100000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.179414,4576,3755,821,0.0,1103,1103,0,ncase_alpha_sweep/alpha_0p05/n_1000000
